PlayerName,SoldPrice,Role,TeamName,Nationality,BasePrice,CappedStatus,AuctionYear
Christopher Morris,37500000,All-Rounder,Chennai Super Kings,Unknown,,Unknown,2013
Dirk Nannes,36000000,Bowler,Chennai Super Kings,Unknown,,Unknown,2013
Ben Laughlin,1200000,Bowler,Chennai Super Kings,Unknown,,Unknown,2013
Akila Dananjaya,1200000,All-Rounder,Chennai Super Kings,Unknown,,Unknown,2013
Jason Holder,1200000,Bowler,Chennai Super Kings,Unknown,,Unknown,2013
Johan Botha,27000000,All-Rounder,Delhi Capitals,Unknown,,Unknown,2013
Jesse Ryder,15600000,All-Rounder,Delhi Capitals,Unknown,,Unknown,2013
Jeevan Mendis,3000000,All-Rounder,Delhi Capitals,Unknown,,Unknown,2013
Manpreet Gony,30000000,Bowler,Punjab Kings,Unknown,,Unknown,2013
Luke Pomersbach,18000000,Batsman,Punjab Kings,Unknown,,Unknown,2013
Sachithra Senanayaka,37500000,All-Rounder,Kolkata Knight Riders,Unknown,,Unknown,2013
Ryan McLaren,3000000,Bowler,Kolkata Knight Riders,Unknown,,Unknown,2013
Glenn Maxwell,60000000,All-Rounder,Mumbai Indians,Unknown,,Unknown,2013
Nathan Coulter-Nile,27000000,Bowler,Mumbai Indians,Unknown,,Unknown,2013
Ricky Ponting,24000000,Batsman,Mumbai Indians,Unknown,,Unknown,2013
Philip Hughes,6000000,Batsman,Mumbai Indians,Unknown,,Unknown,2013
Jacob Oram,3000000,All-Rounder,Mumbai Indians,Unknown,,Unknown,2013
Ajantha Mendis,43500000,Bowler,Pune Warriors India,Unknown,,Unknown,2013
Kane Richardson,42000000,Bowler,Pune Warriors India,Unknown,,Unknown,2013
Abhishek Nayar,40500000,All-Rounder,Pune Warriors India,Unknown,,Unknown,2013
Michael Clarke,24000000,Batsman,Pune Warriors India,Unknown,,Unknown,2013
James Faulkner,24000000,All-Rounder,Rajasthan Royals,Unknown,,Unknown,2013
Fidel Edwards,12600000,Bowler,Rajasthan Royals,Unknown,,Unknown,2013
Kusal Janith Perera,1200000,Wicket Keeper,Rajasthan Royals,Unknown,,Unknown,2013
Jaydev Unadkat,31500000,Bowler,Royal Challengers Bengaluru,Unknown,,Unknown,2013
Rudra Pratap Singh,24000000,Bowler,Royal Challengers Bengaluru,Unknown,,Unknown,2013
Moises Henriques,18000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2013
Ravi Rampaul,17400000,Bowler,Royal Challengers Bengaluru,Unknown,,Unknown,2013
Pankaj Singh,9000000,Bowler,Royal Challengers Bengaluru,Unknown,,Unknown,2013
Daniel Christian,6000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2013
Christopher Barnwell,3000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2013
Thisara Perera,40500000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2013
Darren Sammy,25500000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2013
Sudeep Tyagi,6000000,Bowler,Sunrisers Hyderabad,Unknown,,Unknown,2013
Clinton McKay,6000000,Bowler,Sunrisers Hyderabad,Unknown,,Unknown,2013
Nathan McCullum,6000000,Bowler,Sunrisers Hyderabad,Unknown,,Unknown,2013
Quinton De Kock,1200000,Wicket Keeper,Sunrisers Hyderabad,Unknown,,Unknown,2013
Faf Du Plessis,47500000,Batsman,Chennai Super Kings,Unknown,,Unknown,2014
Dwayne Smith,45000000,Batsman,Chennai Super Kings,Unknown,,Unknown,2014
Brendon McCullum,32500000,Wicket Keeper,Chennai Super Kings,Unknown,,Unknown,2014
Ashish Nehra,20000000,Bowler,Chennai Super Kings,Unknown,,Unknown,2014
Mohit Sharma,20000000,Bowler,Chennai Super Kings,Unknown,,Unknown,2014
Ishwar Chandra Pandey,15000000,Bowler,Chennai Super Kings,Unknown,,Unknown,2014
Ben Hilfenhaus,10000000,Bowler,Chennai Super Kings,Unknown,,Unknown,2014
John Hastings,5000000,All-Rounder,Chennai Super Kings,Unknown,,Unknown,2014
Samuel Badree,3000000,Bowler,Chennai Super Kings,Unknown,,Unknown,2014
Matt Henry,3000000,Bowler,Chennai Super Kings,Unknown,,Unknown,2014
Mithun Manhas,3000000,All-Rounder,Chennai Super Kings,Unknown,,Unknown,2014
Vijay Shankar,1000000,All-Rounder,Chennai Super Kings,Unknown,,Unknown,2014
Ronit More,1000000,Bowler,Chennai Super Kings,Unknown,,Unknown,2014
Baba Aparajith,1000000,Batsman,Chennai Super Kings,Unknown,,Unknown,2014
Pawan Negi,1000000,Bowler,Chennai Super Kings,Unknown,,Unknown,2014
Dinesh Karthik,125000000,Wicket Keeper,Delhi Capitals,Unknown,,Unknown,2014
Kevin Pietersen,90000000,Batsman,Delhi Capitals,Unknown,,Unknown,2014
Murali Vijay,50000000,Batsman,Delhi Capitals,Unknown,,Unknown,2014
Mohammad Shami,42500000,Bowler,Delhi Capitals,Unknown,,Unknown,2014
Nathan Coulter-Nile,42500000,Bowler,Delhi Capitals,Unknown,,Unknown,2014
Quinton De Kock,35000000,Wicket Keeper,Delhi Capitals,Unknown,,Unknown,2014
