PlayerName,SoldPrice,Role,TeamName,Nationality,BasePrice,CappedStatus,AuctionYear,LastName_x,Runs,BallsFaced,Sixes,Matches_Batting,Fours,StrikeRate,Wickets,Economy,Overs,Matches_Bowling,PerformanceScore,LastName_y
Pankaj Singh,9000000,Bowler,Royal Challengers Bengaluru,Unknown,,Unknown,2013,singh,7.0,12.0,0.0,5.0,0.0,58.333333333333336,11.0,9.36,50.0,17.0,275.35,singh
Sandeep Sharma,8500000,Bowler,Punjab Kings,Unknown,,Unknown,2014,sharma,54.0,70.0,0.0,25.0,4.0,77.14285714285715,137.0,7.885896527285613,470.3333333333333,126.0,3427.7,sharma
Anureet Singh,2000000,Bowler,Punjab Kings,Unknown,,Unknown,2014,singh,36.0,47.0,1.0,8.0,2.0,76.59574468085107,18.0,9.072815533980583,68.66666666666667,22.0,451.8,singh
Shivam Sharma,1000000,Bowler,Punjab Kings,Unknown,,Unknown,2014,sharma,5.0,3.0,0.0,2.0,1.0,166.66666666666669,4.0,8.68421052631579,19.0,5.0,100.25,sharma
Karanveer Singh,1000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2014,singh,12.0,17.0,0.0,4.0,1.0,70.58823529411765,12.0,9.441176470588236,34.0,9.0,300.6,singh
Shakib Al Hasan,28000000,All-Rounder,Kolkata Knight Riders,Unknown,,Unknown,2014,hasan,795.0,639.0,21.0,52.0,73.0,124.4131455399061,63.0,7.435309973045822,247.33333333333334,70.0,1614.75,hasan
Yuvraj Singh,140000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2014,singh,2754.0,2122.0,149.0,126.0,218.0,129.78322337417532,36.0,7.436133486766398,144.83333333333334,73.0,1037.7,singh
KL Rahul,10000000,Batsman,Sunrisers Hyderabad,Unknown,,Unknown,2014,rahul,4689.0,3485.0,187.0,122.0,400.0,134.54806312769009,0.0,0.0,0.0,0.0,234.45000000000002,rahul
Yuvraj Singh,160000000,Batsman,Delhi Capitals,Unknown,,Unknown,2015,singh,2754.0,2122.0,149.0,126.0,218.0,129.78322337417532,36.0,7.436133486766398,144.83333333333334,73.0,1037.7,singh
Ishan Kishan,3500000,Wicket Keeper,Gujarat Lions,Unknown,,Unknown,2016,kishan,2644.0,1946.0,119.0,99.0,255.0,135.86844809866392,0.0,0.0,0.0,0.0,132.20000000000002,kishan
Swapnil Singh,1000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2016,singh,51.0,45.0,3.0,9.0,3.0,113.33333333333333,7.0,8.925925925925926,27.0,14.0,177.55,singh
Jaskaran Singh,1000000,Bowler,Rising Pune Supergiant,Unknown,,Unknown,2016,singh,8.0,11.0,0.0,4.0,0.0,72.72727272727273,6.0,10.058823529411764,17.0,7.0,150.4,singh
Ankit Sharma,1000000,All-Rounder,Rising Pune Supergiant,Unknown,,Unknown,2016,sharma,87.0,67.0,4.0,10.0,7.0,129.8507462686567,12.0,7.3569482288828345,61.166666666666664,21.0,304.35,sharma
Sachin Baby,1000000,Batsman,Royal Challengers Bengaluru,Unknown,,Unknown,2016,baby,144.0,118.0,5.0,11.0,11.0,122.03389830508475,2.0,4.8,1.6666666666666667,2.0,57.2,baby
Yuvraj Singh,70000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2016,singh,2754.0,2122.0,149.0,126.0,218.0,129.78322337417532,36.0,7.436133486766398,144.83333333333334,73.0,1037.7,singh
Mustafizur Rahman,14000000,Bowler,Sunrisers Hyderabad,Unknown,,Unknown,2016,rahman,13.0,23.0,1.0,6.0,0.0,56.52173913043478,61.0,8.133949191685913,216.5,57.0,1525.65,rahman
Navdeep Saini,1000000,Bowler,Delhi Capitals,Unknown,,Unknown,2017,saini,33.0,37.0,0.0,7.0,3.0,89.1891891891892,24.0,8.705521472392638,108.66666666666667,31.0,601.65,saini
Shashank Singh,1000000,All-Rounder,Delhi Capitals,Unknown,,Unknown,2017,singh,423.0,262.0,25.0,19.0,33.0,161.45038167938932,1.0,8.333333333333334,3.0,3.0,46.150000000000006,singh
Basil Thampi,8500000,Bowler,Gujarat Lions,Unknown,,Unknown,2017,thampi,32.0,35.0,1.0,7.0,1.0,91.42857142857143,22.0,9.742802303262957,86.83333333333333,25.0,551.6,thampi
T Natarajan,30000000,Bowler,Punjab Kings,Unknown,,Unknown,2017,natarajan,3.0,5.0,0.0,2.0,0.0,60.0,67.0,8.836200448765894,222.83333333333334,61.0,1675.15,natarajan
Mohammed Siraj,26000000,Bowler,Sunrisers Hyderabad,Unknown,,Unknown,2017,siraj,109.0,119.0,4.0,20.0,10.0,91.59663865546219,94.0,8.647599591419816,326.3333333333333,93.0,2355.45,siraj
Mohammad Nabi,3000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2017,nabi,221.0,152.0,12.0,19.0,18.0,145.39473684210526,15.0,7.438848920863309,69.5,23.0,386.05,nabi
Harbhajan Singh,20000000,Bowler,Chennai Super Kings,Unknown,,Unknown,2018,singh,833.0,604.0,42.0,88.0,79.0,137.91390728476821,150.0,7.078454332552693,569.3333333333334,160.0,3791.65,singh
Imran Tahir,10000000,Bowler,Chennai Super Kings,Unknown,,Unknown,2018,tahir,33.0,37.0,0.0,8.0,5.0,89.1891891891892,82.0,7.764437689969604,219.33333333333334,59.0,2051.65,tahir
N Jagadeesan,2000000,Wicket Keeper,Chennai Super Kings,Unknown,,Unknown,2018,jagadeesan,162.0,147.0,2.0,10.0,21.0,110.20408163265304,0.0,0.0,0.0,0.0,8.1,jagadeesan
Avesh Khan,7000000,Bowler,Delhi Capitals,Unknown,,Unknown,2018,khan,41.0,25.0,3.0,9.0,3.0,164.0,76.0,8.87191011235955,222.5,62.0,1902.05,khan
Abhishek Sharma,5500000,All-Rounder,Delhi Capitals,Unknown,,Unknown,2018,sharma,1377.0,887.0,73.0,61.0,128.0,155.24239007891768,11.0,8.644444444444444,45.0,26.0,343.85,sharma
KL Rahul,110000000,Batsman,Punjab Kings,Unknown,,Unknown,2018,rahul,4689.0,3485.0,187.0,122.0,400.0,134.54806312769009,0.0,0.0,0.0,0.0,234.45000000000002,rahul
Yuvraj Singh,20000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2018,singh,2754.0,2122.0,149.0,126.0,218.0,129.78322337417532,36.0,7.436133486766398,144.83333333333334,73.0,1037.7,singh
Mayank Dagar,2000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2018,dagar,0.0,1.0,0.0,1.0,0.0,0.0,2.0,8.89051094890511,22.833333333333332,8.0,50.0,dagar
Shivam Mavi,30000000,All-Rounder,Kolkata Knight Riders,Unknown,,Unknown,2018,mavi,51.0,56.0,2.0,11.0,4.0,91.07142857142857,30.0,8.708782742681047,108.16666666666667,32.0,752.55,mavi
Shubman Gill,18000000,Batsman,Kolkata Knight Riders,Unknown,,Unknown,2018,gill,3216.0,2370.0,95.0,99.0,310.0,135.69620253164555,0.0,0.0,0.0,0.0,160.8,gill
Ishan Kishan,62000000,Wicket Keeper,Mumbai Indians,Unknown,,Unknown,2018,kishan,2644.0,1946.0,119.0,99.0,255.0,135.86844809866392,0.0,0.0,0.0,0.0,132.20000000000002,kishan
Mustafizur Rahman,22000000,Bowler,Mumbai Indians,Unknown,,Unknown,2018,rahman,13.0,23.0,1.0,6.0,0.0,56.52173913043478,61.0,8.133949191685913,216.5,57.0,1525.65,rahman
Mohsin Khan,2000000,Bowler,Mumbai Indians,Unknown,,Unknown,2018,khan,25.0,24.0,1.0,5.0,2.0,104.16666666666667,27.0,8.506172839506172,81.0,23.0,676.25,khan
Anureet Singh,3000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2018,singh,36.0,47.0,1.0,8.0,2.0,76.59574468085107,18.0,9.072815533980583,68.66666666666667,22.0,451.8,singh
Ankit Sharma,2000000,All-Rounder,Rajasthan Royals,Unknown,,Unknown,2018,sharma,87.0,67.0,4.0,10.0,7.0,129.8507462686567,12.0,7.3569482288828345,61.166666666666664,21.0,304.35,sharma
Navdeep Saini,30000000,Bowler,Royal Challengers Bengaluru,Unknown,,Unknown,2018,saini,33.0,37.0,0.0,7.0,3.0,89.1891891891892,24.0,8.705521472392638,108.66666666666667,31.0,601.65,saini
Mohammed Siraj,26000000,Bowler,Royal Challengers Bengaluru,Unknown,,Unknown,2018,siraj,109.0,119.0,4.0,20.0,10.0,91.59663865546219,94.0,8.647599591419816,326.3333333333333,93.0,2355.45,siraj
Mandeep Singh,14000000,All-Rounder,Royal Challengers Bengaluru,Unknown,,Unknown,2018,singh,1706.0,1388.0,38.0,97.0,176.0,122.91066282420748,0.0,13.0,2.0,2.0,85.30000000000001,singh
Sandeep Sharma,30000000,Bowler,Sunrisers Hyderabad,Unknown,,Unknown,2018,sharma,54.0,70.0,0.0,25.0,4.0,77.14285714285715,137.0,7.885896527285613,470.3333333333333,126.0,3427.7,sharma
Shakib Al Hasan,20000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2018,hasan,795.0,639.0,21.0,52.0,73.0,124.4131455399061,63.0,7.435309973045822,247.33333333333334,70.0,1614.75,hasan
Mohammad Nabi,10000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2018,nabi,221.0,152.0,12.0,19.0,18.0,145.39473684210526,15.0,7.438848920863309,69.5,23.0,386.05,nabi
Basil Thampi,9500000,Bowler,Sunrisers Hyderabad,Unknown,,Unknown,2018,thampi,32.0,35.0,1.0,7.0,1.0,91.42857142857143,22.0,9.742802303262957,86.83333333333333,25.0,551.6,thampi
T Natarajan,4000000,Bowler,Sunrisers Hyderabad,Unknown,,Unknown,2018,natarajan,3.0,5.0,0.0,2.0,0.0,60.0,67.0,8.836200448765894,222.83333333333334,61.0,1675.15,natarajan
Sachin Baby,2000000,Batsman,Sunrisers Hyderabad,Unknown,,Unknown,2018,baby,144.0,118.0,5.0,11.0,11.0,122.03389830508475,2.0,4.8,1.6666666666666667,2.0,57.2,baby
Bipul Sharma,2000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2018,sharma,187.0,123.0,9.0,17.0,11.0,152.03252032520325,17.0,8.056338028169014,71.0,28.0,434.35,sharma
Arshdeep Singh,2000000,Bowler,Punjab Kings,Unknown,,Unknown,2019,singh,29.0,40.0,0.0,11.0,4.0,72.5,76.0,9.026392961876832,227.33333333333334,65.0,1901.45,singh
Harpreet Brar,2000000,All-Rounder,Punjab Kings,Unknown,,Unknown,2019,brar,233.0,190.0,9.0,24.0,19.0,122.63157894736842,25.0,7.908689248895434,113.16666666666667,39.0,636.65,brar
Yuvraj Singh,10000000,All-Rounder,Mumbai Indians,Unknown,,Unknown,2019,singh,2754.0,2122.0,149.0,126.0,218.0,129.78322337417532,36.0,7.436133486766398,144.83333333333334,73.0,1037.7,singh
