PlayerName,Runs,BallsFaced,Sixes,Matches_Batting,Fours,StrikeRate,Wickets,Economy,Overs,Matches_Bowling,PerformanceScore
A Ashish Reddy,280.0,193.0,15.0,23.0,16.0,145.0777202072539,18.0,9.068702290076336,43.666666666666664,20.0,464.0
A Badoni,634.0,473.0,24.0,35.0,46.0,134.03805496828753,2.0,8.639999999999999,4.166666666666667,5.0,81.7
A Chandila,4.0,7.0,0.0,2.0,0.0,57.14285714285714,11.0,6.205128205128205,39.0,12.0,275.2
A Chopra,53.0,71.0,0.0,6.0,7.0,74.64788732394366,0.0,0.0,0.0,0.0,2.6500000000000004
A Choudhary,25.0,20.0,1.0,3.0,1.0,125.0,5.0,8.554455445544555,16.833333333333332,5.0,126.25
A Dananjaya,4.0,5.0,0.0,1.0,0.0,80.0,0.0,11.75,4.0,1.0,0.2
A Flintoff,62.0,53.0,2.0,3.0,5.0,116.98113207547169,2.0,9.545454545454545,11.0,3.0,53.1
A Kamboj,2.0,2.0,0.0,1.0,0.0,100.0,2.0,11.4,10.0,3.0,50.1
A Kumble,35.0,47.0,0.0,15.0,3.0,74.46808510638297,45.0,6.578238341968912,160.83333333333334,42.0,1126.75
A Manohar,231.0,174.0,10.0,15.0,21.0,132.75862068965517,0.0,0.0,0.0,0.0,11.55
A Mishra,381.0,419.0,5.0,55.0,31.0,90.9307875894988,174.0,7.377632749925837,561.8333333333334,162.0,4369.05
A Mithun,34.0,26.0,1.0,6.0,4.0,130.76923076923077,7.0,9.833333333333334,48.0,16.0,176.7
A Mukund,19.0,22.0,0.0,2.0,1.0,86.36363636363636,0.0,0.0,0.0,0.0,0.9500000000000001
A Nehra,41.0,62.0,1.0,17.0,3.0,66.12903225806451,106.0,7.845911949685535,318.0,88.0,2652.05
A Nel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.333333333333334,3.0,1.0,25.0
A Nortje,49.0,49.0,0.0,13.0,6.0,100.0,60.0,8.960151802656547,175.66666666666666,46.0,1502.45
A Raghuvanshi,163.0,105.0,8.0,7.0,16.0,155.23809523809524,0.0,0.0,0.0,0.0,8.15
A Singh,2.0,10.0,0.0,5.0,0.0,20.0,28.0,7.864693446088795,78.83333333333333,23.0,700.1
A Symonds,974.0,750.0,41.0,36.0,74.0,129.86666666666667,20.0,7.673624288425048,87.83333333333333,30.0,548.7
A Tomar,4.0,8.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.2
A Uniyal,4.0,7.0,0.0,2.0,0.0,57.14285714285714,2.0,11.0,6.0,2.0,50.2
A Zampa,15.0,24.0,0.0,5.0,1.0,62.5,29.0,7.990453460620525,69.83333333333333,20.0,725.75
AA Bilakhia,69.0,85.0,0.0,7.0,5.0,81.17647058823529,0.0,0.0,0.0,0.0,3.45
AA Chavan,12.0,11.0,0.0,3.0,2.0,109.09090909090908,8.0,7.887096774193548,41.333333333333336,13.0,200.6
AA Jhunjhunwala,217.0,210.0,5.0,15.0,19.0,103.33333333333334,1.0,9.105882352941176,14.166666666666666,10.0,35.85
AA Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,2.0,1.0,0.0
AA Kulkarni,9.0,8.0,0.0,2.0,2.0,112.5,0.0,0.0,0.0,0.0,0.45
AA Noffke,9.0,10.0,0.0,1.0,1.0,90.0,1.0,10.0,4.0,1.0,25.45
AB Agarkar,179.0,154.0,5.0,18.0,13.0,116.23376623376625,29.0,8.831202046035806,130.33333333333334,42.0,733.95
AB Barath,42.0,42.0,1.0,3.0,5.0,100.0,0.0,0.0,0.0,0.0,2.1
AB Dinda,26.0,48.0,0.0,16.0,2.0,54.166666666666664,69.0,8.20448548812665,252.66666666666666,75.0,1726.3
AB McDonald,123.0,100.0,4.0,9.0,9.0,123.0,11.0,8.419354838709678,31.0,10.0,281.15
AB de Villiers,5181.0,3411.0,253.0,170.0,414.0,151.8909410729991,0.0,0.0,0.0,0.0,259.05
AC Blizzard,120.0,90.0,2.0,7.0,21.0,133.33333333333331,0.0,0.0,0.0,0.0,6.0
